Kosa Kata,Arti Kata
clamps,Terapkan digunakan untuk menggenggam bagian tubuh selama operasi.
claudication {claudicación},Pincang disebabkan oleh suplai darah yang tidak memadai selama aktivitas; biasanya reda saat istirahat.
clavicle {clavicula},Tulang bahu yang melengkung yang bergabung dengan skapula; tulang selangka.
climacteric {climaterio},Periode perubahan hormonal sesaat sebelum menopause.
clitoris {clítoris},"Organ utama rangsangan seksual wanita, terletak di bagian atas labia minora."
closed,Dilakukan tanpa sayatan.
closed fracture,Fraktur tanpa luka kulit terbuka.
coagulant,Agen pembekuan.
coagulation {coagulación},"Mengubah cairan, terutama darah, menjadi semi padat."
coarctation of the aorta,Penyempitan aorta yang tidak normal.
cobalt,Zat radioaktif digunakan dalam terapi radiasi.
coccyx {cóccix},Tulang kecil yang terdiri dari empat tulang belakang yang menyatu di ujung tulang belakang; tulang ekor.
cochlea {caracol},Struktur berbentuk siput di telinga bagian dalam yang berisi organ Corti.
coitus {coito},Hubungan seksual.
cold sore,Letusan di sekitar mulut atau bibir; virus herpes simpleks Tipe 1.
colectomy {colectomía},Pengangkatan usus besar.
colic {cólico},"Gangguan gastrointestinal, terutama pada bayi."
colitis {colitis},Radang usus besar.
collagen {colágeno},Zat protein utama yang tangguh dan fleksibel yang membentuk jaringan ikat di dalam tubuh.
Colles' fracture,Fraktur ujung bawah jari-jari.
colon {colon},Porsi utama dari usus besar.
colonoscopy {colonoscopia},Pemeriksaan usus besar menggunakan endoskopi.
colostomy {colostomía},Pembuatan lubang dari usus besar ke dinding perut.
colposcopy,Pemeriksaan vagina dengan kolposkop.
coma {coma},Tidur nyenyak yang tidak normal dengan sedikit atau tanpa respons terhadap rangsangan.
"comedo (pl., comedos, comedones)",Folikel rambut terbuka yang dipenuhi bakteri dan sebum; umum pada jerawat; bincul hitam.
comminuted fracture,Fraktur dengan tulang yang hancur.
compact bone,Tulang keras dengan struktur anyaman rapat.
complementary medicine,Praktik medis nonkonvensional yang digunakan dalam kombinasi dengan pengobatan konvensional.
complete blood count (CBC),Tes darah paling umum untuk sejumlah faktor.
complex fracture,Fraktur dengan bagian tulang yang tergeser.
complicated fracture,Fraktur yang melibatkan cedera jaringan lunak yang luas.
compound fracture,Fraktur dengan luka kulit terbuka; fraktur terbuka.
compression fracture,Patahnya satu atau lebih ruas tulang belakang yang disebabkan oleh terkompresinya jarak antar ruas.
computerized (axial) tomography (CT or CAT) scan,Pencitraan radiografi yang menghasilkan gambar penampang.
concussion {concusión},Cedera otak karena trauma.
condom {condón},Alat kontrasepsi yang terdiri dari selubung karet atau vinil yang dipasang di atas penis atau sebagai lapisan yang menut
condom catheter,Kateter sekali pakai untuk pengambilan sampel urin atau inkontinensia.
conduction system,"Bagian dari jantung yang mengandung jaringan khusus yang mengirimkan muatan melalui serat jantung, menyebabkan jantung b"
conductivity {conductividad},Kemampuan untuk mengirimkan sinyal.
condyle,Permukaan bulat di ujung tulang.
condyloma {condiloma},Pertumbuhan di genitalia luar.
cones {conos},Sel reseptor khusus di retina yang merasakan warna dan cahaya terang.
congenital heart disease,Penyakit jantung (biasanya sejenis malformasi) yang ada sejak lahir.
congestive heart failure,Ketidakmampuan jantung untuk memompa cukup darah keluar selama siklus jantung; hasil pengumpulan cairan di paru-paru.
conization {conización},Pengangkatan bagian serviks yang berbentuk kerucut untuk pemeriksaan.
"conjunctiva (pl., conjunctivae) {conjuntiva}",Selaput lendir yang melapisi kelopak mata.
conjunctivitis {conjuntivitis},Peradangan pada konjungtiva kelopak mata.
connective tissue,Zat berserat yang membentuk kerangka pendukung tubuh.
constipation {constipación},Buang air besar sulit atau jarang.
